time_in_seconds;cap_sensor;licht;temperatur
2975;1735.824218750000;2338.608154296875;997.655700683594
2993;1739.853515625000;2333.772949218750;1002.490905761719
3011;1734.212524414062;2335.384765625000;1001.684997558594
3028;1750.329711914062;2339.414062500000;991.208801269531
3046;1739.047729492188;2333.772949218750;996.849853515625
3064;1734.212524414062;2338.608154296875;987.179504394531
3081;1744.688720703125;2334.578857421875;988.791259765625
3099;1744.688720703125;2332.967041015625;996.044006347656
3117;1739.047729492188;2333.772949218750;992.014709472656
3134;1730.989135742188;2335.384765625000;992.820556640625
3152;1751.941528320312;2332.967041015625;990.402954101562
3170;1729.377441406250;2331.355468750000;990.402954101562
3187;1744.688720703125;2332.967041015625;1004.102600097656
3205;1737.436035156250;2332.967041015625;986.373657226562
3223;1726.153930664062;2332.161132812500;995.238159179688
3240;1741.465332031250;2332.161132812500;996.849853515625
3258;1722.930541992188;2329.743652343750;997.655700683594
3276;1749.523925781250;2329.743652343750;994.432250976562
3293;1737.436035156250;2329.743652343750;1004.102600097656
3311;1735.824218750000;2327.326171875000;996.044006347656
3329;1737.436035156250;2328.131835937500;1000.879150390625
3346;1752.747314453125;2324.102539062500;1004.102600097656
3364;1749.523925781250;2323.296875000000;991.208801269531
3382;1755.164916992188;2322.490966796875;995.238159179688
3399;1747.912231445312;2323.296875000000;996.044006347656
3417;1746.300415039062;2352.307861328125;996.044006347656
3435;1737.436035156250;2326.520263671875;994.432250976562
3452;1736.630126953125;2323.296875000000;992.014709472656
3470;1735.018432617188;2325.714355468750;996.044006347656
3488;1733.406738281250;2349.084228515625;997.655700683594
3505;1751.135620117188;2325.714355468750;992.820556640625
3523;1734.212524414062;2321.685058593750;1002.490905761719
3541;1722.124633789062;2320.879150390625;987.985412597656
3558;1730.183227539062;2323.296875000000;995.238159179688
3576;1742.271118164062;2323.296875000000;994.432250976562
3594;1722.930541992188;2323.296875000000;995.238159179688
3611;1720.512939453125;2326.520263671875;1000.073303222656
3629;1735.824218750000;2326.520263671875;989.597106933594
3647;1743.882934570312;2326.520263671875;983.150207519531
3664;1743.882934570312;2323.296875000000;994.432250976562
3682;1725.348022460938;2327.326171875000;992.014709472656
3700;1726.153930664062;2323.296875000000;992.014709472656
3717;1735.824218750000;2324.102539062500;1000.879150390625
3735;1737.436035156250;2321.685058593750;994.432250976562
3753;1738.241821289062;2325.714355468750;992.014709472656
3770;1742.271118164062;2325.714355468750;993.626403808594
3788;1731.794921875000;2319.267578125000;995.238159179688
3806;1731.794921875000;2321.685058593750;984.761962890625
3823;1730.989135742188;2319.267578125000;1000.879150390625
3841;1744.688720703125;2322.490966796875;990.402954101562
3859;1731.794921875000;2319.267578125000;993.626403808594
3876;1740.659423828125;2323.296875000000;1000.073303222656
3894;1758.388427734375;2325.714355468750;990.402954101562
3912;1746.300415039062;2323.296875000000;989.597106933594
3929;1741.465332031250;2318.461669921875;988.791259765625
3947;1734.212524414062;2319.267578125000;982.344360351562
3965;1738.241821289062;2318.461669921875;992.820556640625
3982;1726.153930664062;2318.461669921875;988.791259765625
4000;1742.271118164062;2316.849853515625;984.761962890625
4018;1741.465332031250;2317.655761718750;996.849853515625
4035;1729.377441406250;2316.043945312500;992.820556640625
4053;1743.077026367188;2320.073242187500;997.655700683594
4071;1735.824218750000;2320.073242187500;999.267456054688
4088;1745.494628906250;2324.102539062500;995.238159179688
4106;1731.794921875000;2324.102539062500;990.402954101562
4124;1745.494628906250;2353.919433593750;995.238159179688
4141;1744.688720703125;2351.501953125000;999.267456054688
4159;1741.465332031250;2322.490966796875;992.014709472656
4177;1743.077026367188;2322.490966796875;996.044006347656
4194;1730.183227539062;2323.296875000000;998.461547851562
4212;1726.153930664062;2322.490966796875;992.014709472656
4230;1747.912231445312;2322.490966796875;996.849853515625
4247;1730.183227539062;2320.879150390625;998.461547851562
4265;1747.912231445312;2320.879150390625;997.655700683594
4283;1743.882934570312;2322.490966796875;991.208801269531
4300;1743.882934570312;2329.743652343750;979.926757812500
4318;1745.494628906250;2322.490966796875;1001.684997558594
4336;1746.300415039062;2323.296875000000;997.655700683594
4353;1728.571533203125;2317.655761718750;1004.102600097656
4371;1743.077026367188;2323.296875000000;987.179504394531
4389;1728.571533203125;2319.267578125000;979.926757812500
4406;1739.047729492188;2323.296875000000;1001.684997558594
4424;1728.571533203125;2323.296875000000;1003.296752929688
4442;1747.106323242188;2327.326171875000;999.267456054688
4459;1747.912231445312;2327.326171875000;995.238159179688
4477;1742.271118164062;2326.520263671875;1000.879150390625
4494;1751.941528320312;2328.937744140625;989.597106933594
4512;1738.241821289062;2326.520263671875;1000.073303222656
4530;1743.077026367188;2328.937744140625;1000.879150390625
4548;1749.523925781250;2328.937744140625;1003.296752929688
4565;1740.659423828125;2322.490966796875;1006.520202636719
4583;1743.882934570312;2326.520263671875;983.150207519531
4600;1735.018432617188;2324.908447265625;990.402954101562
4618;1751.941528320312;2327.326171875000;986.373657226562
4636;1743.077026367188;2328.131835937500;986.373657226562
4654;1750.329711914062;2326.520263671875;986.373657226562
4671;1750.329711914062;2324.908447265625;997.655700683594
4689;1739.047729492188;2322.490966796875;1001.684997558594
4707;1746.300415039062;2326.520263671875;987.985412597656
4724;1749.523925781250;2322.490966796875;1006.520202636719
4742;1741.465332031250;2322.490966796875;1008.131896972656
4759;1751.941528320312;2324.908447265625;983.150207519531
4777;1727.765625000000;2129.890136718750;992.014709472656
4795;1751.135620117188;2085.567871093750;991.208801269531
4813;1747.912231445312;2039.633789062500;989.597106933594
4830;1749.523925781250;1056.483520507812;992.820556640625
4848;1734.212524414062;1072.600708007812;992.014709472656
4865;1739.853515625000;1061.318725585938;998.461547851562
4883;1744.688720703125;1066.153930664062;984.761962890625
4901;1746.300415039062;1064.542114257812;997.655700683594
4918;1747.106323242188;1066.959716796875;985.567810058594
4936;1743.882934570312;1066.959716796875;996.849853515625
4954;1754.359008789062;1070.183227539062;999.267456054688
4972;1747.912231445312;1070.989013671875;1000.879150390625
4989;1734.212524414062;1072.600708007812;995.238159179688
5007;1742.271118164062;1075.824218750000;1004.908447265625
5025;1736.630126953125;1077.435913085938;984.761962890625
5042;1747.106323242188;1075.824218750000;1001.684997558594
5060;1751.135620117188;1077.435913085938;1007.326049804688
5078;1736.630126953125;1079.853515625000;999.267456054688
5095;1733.406738281250;1085.494506835938;987.985412597656
5113;1742.271118164062;1084.688720703125;999.267456054688
5131;1731.794921875000;1085.494506835938;996.044006347656
5148;1736.630126953125;1079.047607421875;990.402954101562
5166;1746.300415039062;1080.659423828125;1007.326049804688
5184;1731.794921875000;1085.494506835938;1002.490905761719
5201;1736.630126953125;1083.882812500000;1007.326049804688
5219;1750.329711914062;1083.076904296875;988.791259765625
